--------- beginning of main
10-25 18:34:06.513  9332  9332 I om.projectdeto: Late-enabling -Xcheck:jni
10-25 18:34:06.757  9332  9332 V SoLoader: libhermes-executor-debug.so not found on /data/data/com.projectdetox/lib-main
10-25 18:34:06.757  9332  9332 D SoLoader: libhermes-executor-debug.so found on /data/app/~~TdDSS7T48A8AGNzupl6B4Q==/com.projectdetox-8qq3nNFe1hFMxu2Mt2ynPw==/lib/arm64
10-25 18:34:06.757  9332  9332 D SoLoader: Not resolving dependencies for libhermes-executor-debug.so
10-25 18:34:06.825  9332  9361 V SoLoader: libfbjni.so not found on /data/data/com.projectdetox/lib-main
10-25 18:34:06.825  9332  9361 D SoLoader: libfbjni.so found on /data/app/~~TdDSS7T48A8AGNzupl6B4Q==/com.projectdetox-8qq3nNFe1hFMxu2Mt2ynPw==/lib/arm64
10-25 18:34:06.825  9332  9361 D SoLoader: Not resolving dependencies for libfbjni.so
10-25 18:34:06.825  9332  9361 V SoLoader: libflipper.so not found on /data/data/com.projectdetox/lib-main
10-25 18:34:06.826  9332  9361 D SoLoader: libflipper.so found on /data/app/~~TdDSS7T48A8AGNzupl6B4Q==/com.projectdetox-8qq3nNFe1hFMxu2Mt2ynPw==/lib/arm64
10-25 18:34:06.826  9332  9361 D SoLoader: Not resolving dependencies for libflipper.so
10-25 18:34:06.835  9332  9332 W om.projectdeto: Accessing hidden field Landroid/view/View;->mKeyedTags:Landroid/util/SparseArray; (greylist, reflection, allowed)
10-25 18:34:06.835  9332  9332 W om.projectdeto: Accessing hidden field Landroid/view/View;->mListenerInfo:Landroid/view/View$ListenerInfo; (greylist, reflection, allowed)
10-25 18:34:06.835  9332  9332 W om.projectdeto: Accessing hidden field Landroid/view/View$ListenerInfo;->mOnClickListener:Landroid/view/View$OnClickListener; (greylist, reflection, allowed)
10-25 18:34:06.836  9332  9332 I flipper : flipper: FlipperClient::addPlugin Inspector
10-25 18:34:06.836  9332  9332 I flipper : flipper: FlipperClient::addPlugin React
10-25 18:34:06.837  9332  9332 I flipper : flipper: FlipperClient::addPlugin Databases
10-25 18:34:06.837  9332  9332 I flipper : flipper: FlipperClient::addPlugin Preferences
10-25 18:34:06.837  9332  9332 I flipper : flipper: FlipperClient::addPlugin CrashReporter
10-25 18:34:06.838  9332  9332 I flipper : flipper: FlipperClient::addPlugin Network
10-25 18:34:06.842  9332  9354 I UsageTrackerFacilitator: Usage tracking enabled
10-25 18:34:06.843  9332  9354 I TestRequestBuilder: Scanning classpath to find tests in paths [/data/app/~~DXK0KQzsoZUN0lwlJui4Qg==/com.projectdetox.test-TE6rEB7aG_KObMpHRZJeTA==/base.apk]
10-25 18:34:06.843  9332  9354 W om.projectdeto: Opening an oat file without a class loader. Are you using the deprecated DexFile APIs?
10-25 18:34:06.843  9332  9360 W System.err: SLF4J: Failed to load class "org.slf4j.impl.StaticLoggerBinder".
10-25 18:34:06.843  9332  9360 W System.err: SLF4J: Defaulting to no-operation (NOP) logger implementation
10-25 18:34:06.843  9332  9360 W System.err: SLF4J: See http://www.slf4j.org/codes.html#StaticLoggerBinder for further details.
10-25 18:34:07.095  9332  9354 D TestExecutor: Adding listener androidx.test.internal.runner.listener.LogRunListener
10-25 18:34:07.095  9332  9354 D TestExecutor: Adding listener androidx.test.internal.runner.listener.InstrumentationResultPrinter
10-25 18:34:07.095  9332  9354 D TestExecutor: Adding listener androidx.test.internal.runner.listener.ActivityFinisherRunListener
10-25 18:34:07.095  9332  9354 I TestRunner: run started: 1 tests
10-25 18:34:07.095  9332  9354 I TestRunner: run finished: 0 tests, 0 failed, 0 ignored
10-25 18:34:07.162  9332  9354 I MonitoringInstr: waitForActivitiesToComplete() took: 0ms
